ID;Zona;Orden;Hito/punto;Código/ruta/mapa;Hora llegada;Hora salida;Tiempo desde anterior;Latitud;Longitud;Precisión GPS;Punto seguro de escucha;Lado del camino;Anchura libre;Superficie/firme;Sombra;Ruido/ambiente;¿Audio termina antes de caminar?;Acceso interior/exterior;Desnivel/escalones;Alternativa accesible;Foto archivo;Observaciones
Z3-01;3;1;Casa del Administrador;V1 / mapa 19;;;;;;;;;;;;;;;;;;
Z3-02;3;2;Sala de exposiciones;V1 / mapa 19;;;;;;;;;;;;;;;;;;
Z3-03;3;3;Casa de los Cipreses / Asociación;V2 / mapa 21;;;;;;;;;;;;;;;;;;
Z3-04;3;4;Antigua Escuela / Biblioteca;V3 / mapa 22;;;;;;;;;;;;;;;;;;
Z3-05;3;5;Glorieta del paseo;V4;;;;;;;;;;;;;;;;;;
Z3-06;3;6;Mapa Mural de los Continentes;V8;;;;;;;;;;;;;;;;;;
Z3-07;3;7;Vuelta al Mundo en 80 Árboles (recorrido 80%);V;;;;;;;;;;;;;;;;;;
Z3-08;3;8;Ramal del Acueducto de San Telmo;V5 / mapa 23;;;;;;;;;;;;;;;;;;
Z3-09;3;9;Entrada al vivero privado;V5;;;;;;;;;;;;;;;;;;
Z3-10;3;10;Gran pino piñonero;Pinus pinea;;;;;;;;;;;;;;;;;;
Z3-11;3;11;Banco bajo el pino;;;;;;;;;;;;;;;;;;;
Z3-12;3;12;Procesionaria del pino;;;;;;;;;;;;;;;;;;;
Z3-13;3;13;Algarrobo;Ceratonia siliqua;;;;;;;;;;;;;;;;;;
Z3-14;3;14;Paseo central de palmeras;V7 / mapa 28;;;;;;;;;;;;;;;;;;
Z3-15;3;15;Palmera datilera de ocho brazos;V7 / mapa 28;;;;;;;;;;;;;;;;;;
Z3-16;3;16;Paseo de las Secuoyas;P4 / mapa 27;;;;;;;;;;;;;;;;;;
Z3-17;3;17;Mirador de los Pinos;P6;;;;;;;;;;;;;;;;;;
Z3-18;3;18;Colección de Vides Malagueñas;V6 / mapa 26;;;;;;;;;;;;;;;;;;
Z3-19;3;19;Olivo monumental;V6 / mapa 25;;;;;;;;;;;;;;;;;;
Z3-20;3;20;Sendero hacia la Antigua Era;;;;;;;;;;;;;;;;;;;
Z3-21;3;21;Antigua Era;P8 / mapa 24;;;;;;;;;;;;;;;;;;
Z3-22;3;22;Salida de la Era;;;;;;;;;;;;;;;;;;;
Z3-23;3;23;Encrucijada de cinco caminos;;;;;;;;;;;;;;;;;;;
Z3-24;3;24;Camino 2 hacia Ruta Forestal;;;;;;;;;;;;;;;;;;;
Z4-01;4;1;Camino 2 entre álamos blancos;P9 / mapa 44;;;;;;;;;;;;;;;;;;
Z4-02;4;2;Presa/balsa de cabecera;P10;;;;;;;;;;;;;;;;;;
Z4-03;4;3;Aves acuáticas del embalse;;;;;;;;;;;;;;;;;;;
Z4-04;4;4;Observatorio de aves;P11 / mapa 45;;;;;;;;;;;;;;;;;;
Z4-05;4;5;Retroceso 5-10 m;;;;;;;;;;;;;;;;;;;
Z4-06;4;6;Entrada sendero mediterráneo;;;;;;;;;;;;;;;;;;;
Z4-07;4;7;Bosque mediterráneo umbrío;;;;;;;;;;;;;;;;;;;
Z4-08;4;8;Fauna silvestre y silencio;;;;;;;;;;;;;;;;;;;
Z4-09;4;9;Enlace Ruta de los Miradores;M;;;;;;;;;;;;;;;;;;
Z4-10;4;10;Mirador de los Amigos;M7 / mapa 18;;;;;;;;;;;;;;;;;;
Z4-11;4;11;Mirador de Castilla y León;M6 / mapa 18;;;;;;;;;;;;;;;;;;
Z4-12;4;12;Mirador Histórico;M4/P13 / mapa 17;;;;;;;;;;;;;;;;;;
Z4-13;4;13;Jardín de Cactus y Suculentas;P14 / mapa 16;;;;;;;;;;;;;;;;;;
Z4-14;4;14;Avenida de las Palmeras de Echevarría;M3/H20 / mapa 15;;;;;;;;;;;;;;;;;;
Z5-01;5;1;Final Avenida de las Palmeras;H20/M3;;;;;;;;;;;;;;;;;;
Z5-02;5;2;Aseos de la esquina;;;;;;;;;;;;;;;;;;;
Z5-03;5;3;Camino hacia parte trasera del Museo;;;;;;;;;;;;;;;;;;;
Z5-04;5;4;Estanque del Museo Loringiano;;;;;;;;;;;;;;;;;;;
Z5-05;5;5;Mascarón/caño de león;;;;;;;;;;;;;;;;;;;
Z5-06;5;6;Parte trasera del Museo;H21 / mapa 4;;;;;;;;;;;;;;;;;;
Z5-07;5;7;Museo Loringiano;H21 / mapa 4;;;;;;;;;;;;;;;;;;
Z5-08;5;8;Reproducción mosaico de Cártama;;;;;;;;;;;;;;;;;;;
Z5-09;5;9;Dama de la Aduana: hipótesis de ubicación;;;;;;;;;;;;;;;;;;;
Z5-10;5;10;Parte frontal Museo;;;;;;;;;;;;;;;;;;;
Z5-11;5;11;Exedra/banco de los secretos;;;;;;;;;;;;;;;;;;;
Z5-12;5;12;Escaleras de bajada;;;;;;;;;;;;;;;;;;;
Z5-13;5;13;Pinos canarios y fotografía histórica;;;;;;;;;;;;;;;;;;;
Z5-14;5;14;Cruce de entrada;;;;;;;;;;;;;;;;;;;
Z5-15;5;15;Pérgola Circular;;;;;;;;;;;;;;;;;;;
Z6-01;6;1;Estanque rectangular de nenúfares;L1 / mapa 2 - no repetir audio;;;;;;;;;;;;;;;;;;
Z6-02;6;2;Arco hacia zona de rosales;;;;;;;;;;;;;;;;;;;
Z6-03;6;3;Pandano;L7;;;;;;;;;;;;;;;;;;
Z6-04;6;4;Huerta y terrazas de frutales;L2/L3;;;;;;;;;;;;;;;;;;
Z6-05;6;5;Frutales subtropicales;L7;;;;;;;;;;;;;;;;;;
Z6-06;6;6;Zona de expansión;;;;;;;;;;;;;;;;;;;
Z6-07;6;7;Baobabs Adansonia digitata;L5;;;;;;;;;;;;;;;;;;
Z6-08;6;8;Almendros;L3/L5;;;;;;;;;;;;;;;;;;
Z6-09;6;9;Acopio de áridos y compostaje;;;;;;;;;;;;;;;;;;;
Z6-10;6;10;Cultivos y Plantaciones Antiguas;L3;;;;;;;;;;;;;;;;;;
Z6-11;6;11;Caña de azúcar;L3;;;;;;;;;;;;;;;;;;
Z6-12;6;12;Limoneros antiguos;L3;;;;;;;;;;;;;;;;;;
Z6-13;6;13;Almeces, laureles y granados;L3;;;;;;;;;;;;;;;;;;
Z6-14;6;14;Jardín de los Sentidos;L2 / mapa 42;;;;;;;;;;;;;;;;;;
Z6-15;6;15;Plantas aromáticas;L2;;;;;;;;;;;;;;;;;;
Z6-16;6;16;Manzanos y perales;L2;;;;;;;;;;;;;;;;;;
Z6-17;6;17;Paseo de Palmeras o Datileras;L1/P17 / mapa 41;;;;;;;;;;;;;;;;;;
Z6-18;6;18;Antigua puerta de entrada/servicio;;;;;;;;;;;;;;;;;;;
Z6-19;6;19;Lago;L4/P16 / mapa 43;;;;;;;;;;;;;;;;;;
Z6-20;6;20;Aves acuáticas del lago;;;;;;;;;;;;;;;;;;;
Z6-21;6;21;Subida de regreso;;;;;;;;;;;;;;;;;;;
Z6-22;6;22;Laberinto vegetal;punto complementario;;;;;;;;;;;;;;;;;;
Z6-23;6;23;Minotauro;punto complementario;;;;;;;;;;;;;;;;;;
Z6-24;6;24;Taquilla y salida;mapa 1;;;;;;;;;;;;;;;;;;
Z6-25;6;25;Aseos y cafetería;mapa 1;;;;;;;;;;;;;;;;;;
